group,Actinobacteria,Bacteriaunclassified,Bacteroidetes,CandidatusSaccharibacteria,Deferribacteres,Firmicutes,Proteobacteria,Tenericutes,Verrucomicrobia
CtrlPN,0.957947701,0.158304901,65.940085455,0.008118201,0,30.16723457399998,2.56129241,0.2070141,0
CtrlPN,0.82429194,0.89474424,60.24376496000002,0,0,38.03015346000003,0.00704523,0,0
CtrlPN,3.212636562,0.17733421600000002,72.68640590099999,0.004124051,0,22.719399938000034,0.9815242020000001,0.2185747,0
CtrlPN,0.9574048,1.0986272,51.14950869999999,0,0,46.5680874,0.11630080000000001,0.08099519999999999,0.029075200000000002
CtrlPN,4.81020443,2.4921882480000006,59.502583229999985,0,0,32.77496061,0.11013779999999998,0.2945546,0.01536807
CtrlPN,1.2042708899999999,1.3540935200000002,24.432475496000006,0,0,72.25814936499984,0.29205939999999997,0.449468,0.009482448000000001
MetPN,0.956255489,0.07549386,49.52396497199999,0.008388206,0,46.269347443,3.00717226,0.1593759,0
MetPN,3.8620687700000005,0.165517247,56.70147492600002,0,2.746798,26.44729172399997,10.076847469999999,0,0
MetPN,4.70891208,0.05345514,52.70677599800002,0.004859559,0,39.644277196000004,2.8622799199999998,0.01943824,0
MetPN,4.353169179999999,0.6912840969999999,35.645296843999994,0,0,58.57864656999995,0.3149183,0.3514027,0.06528794
