Sample,Group,shannon
302b56,CtrlPN,3.343065
303b56,CtrlPN,3.767882
304b56,CtrlPN,3.704636
307b56,CtrlPN,2.788181
732b8wk,CtrlPN,3.932074
733b8wk,CtrlPN,3.453981
737b8wk,CtrlPN,3.734213
752b8wk,CtrlPN,3.504511
757b8wk,CtrlPN,3.640854
759b8wk,CtrlPN,3.228216
251b56,MetPN,3.656765
252b56,MetPN,3.513929
253b56,MetPN,4.311346
254b56,MetPN,4.206356
2810b56,MetPN,3.764474
282b56,MetPN,3.610247
283b56,MetPN,3.616626
288b56,MetPN,3.804105
741b8wk,MetPN,3.923269
748b8wk,MetPN,3.665082
749b8wk,MetPN,3.478287
