"","Bacteroidetes_Sum","Firmicutes_Sum","Ratio"
"CtrlPN 1",0.52531841569,0.43448942394,1.20904764706665
"CtrlPN 2",0.60817694706,0.35157516636,1.72986321348206
"CtrlPN 3",0.59071124364,0.37383887015,1.58012258972156
"CtrlPN 4",0.60428700469,0.37436909799,1.61414766318704
"CtrlPN 5",0.51886832,0.45147856354,1.14926457622174
"CtrlPN 6",0.67225646055,0.28392994019,2.36768429599266
"CtrlPN 7",0.59958264858,0.33811613195,1.77330387971156
"CtrlPN 8",0.68527034326,0.29697700074,2.3074862415354
"CtrlPN 9",0.45564531032,0.491849158389999,0.926392375685855
"CtrlPN 10",0.62306788365,0.319585307549999,1.94961366787026
"MetPN 11",0.6709831939,0.282211576999999,2.37758918692411
"MetPN 12",0.70379854555,0.25028115529,2.81203171183428
"MetPN 13",0.52319505762,0.42094212752,1.2429144611931
"MetPN 14",0.5267700455,0.43820696032,1.20210332833446
"MetPN 15",0.43402914746,0.32329178758,1.34253069250204
"MetPN 16",0.43736954332,0.3781917524,1.15647562524687
"MetPN 17",0.48374153176,0.29498812517,1.63986781325934
"MetPN 18",0.40988755589,0.404312340319999,1.01378937770138
"MetPN 19",0.50980396262,0.4199511431,1.2139601736924
"MetPN 20",0.61845836107,0.330681511689999,1.87025382190033
"MetPN 21",0.71163846988,0.26598400551,2.67549347005094
