group,Acetatifactor,Akkermansia,Alistipes,Alloprevotella,Anaeroplasma,Asaccharobacter,Bacteriaunclassified,Bacteroidalesunclassified,Bacteroides,Bacteroidetesunclassified,Barnesiella,Betaproteobacteriaunclassified,Bifidobacterium,Blautia,Burkholderialesunclassified,Butyricicoccus,CandidatusSaccharibacteriaunclassified,Clostridialesunclassified,Clostridiaunclassified,ClostridiumIV,Clostridiumsensustricto,ClostridiumXlVa,ClostridiumXlVb,ClostridiumXVIII,Coriobacteriaceaeunclassified,Desulfovibrionaceaeunclassified,Dorea,Eisenbergiella,Enterobacteriaceaeunclassified,Enterorhabdus,Erysipelotrichaceaeunclassified,Firmicutesunclassified,Helicobacter,Jeotgalicoccus,Lachnospiraceaeunclassified,Lactobacillus,Mucispirillum,Odoribacter,Olsenella,Oscillibacter,Parabacteroides,Paraprevotella,Parasutterella,Porphyromonadaceaeunclassified,Prevotella,Proteobacteriaunclassified,Pseudoflavonifractor,Romboutsia,Ruminococcaceaeunclassified,Ruminococcus,Staphylococcus,Streptococcus,Turicibacter
CtrlPN,0.7678370999999999,0,0,0.008627382999999999,0.01725477,0,0.038823225999999995,5.336037,0.012941074999999998,0,0.004313692,0,0.07764645,0.1164697,0,0.01725477,0,5.172115841999999,0.06901907,0.19842981999999998,0,0.1380381,0.012941074999999998,2.269002,0.021568459999999998,0,0.043136919999999995,0.5866621,0,0.09058751999999999,0.025882152,0.021568459999999998,0.008627384,0.008627382999999999,12.194805947,7.941505992999999,0,0,0,0.961953183,0.004313692,0,0,33.482875966,23.211971075,0,0.06901907,0,5.767406122000001,0,0,0.08196014,1.220775
CtrlPN,0.9458014000000001,0,0,0.00411218,0.09458015,0,0.09869233000000001,5.041533,0,0,0,0,0.03289744,0.2549552,0.00411218,0.07401925000000001,0,2.0519777919999997,0.024673080000000003,0.09869231999999999,0,0.0616827,0.07401924,0.9704745000000001,0.024673081000000003,0,0.0205609,0.5962661,0.00411218,0.11514100000000001,0.03700962,0,0,0,8.726046295,16.26778332,0,0,0,0.7031828800000001,0,0,0,39.92927082099999,18.94069872,0,0.13158976,0.00411218,2.2082407799999997,0.01644872,0.00411218,0.0616827,2.37684
CtrlPN,0.43761221,0,0,0.01122083,0.01122083,0,0.08976661,4.79129264,0.02244166,0,0,0,0.25807899,0.17953321,0,0.02244165,0,0.20197486999999997,0.07854578,0.17953321,0,0,0.01122083,1.0996409299999998,0.01122083,0,0.07854578,0.6732495500000001,0.44883303,0.0448833,0,0,0,0,11.434021580000005,14.575852790000003,0,0,0,0.61714542,0,0,0,32.58527827,22.778276480000002,0,0.03366248,0,3.81508079,0.35906643,0,0.08976661,5.06059246
CtrlPN,0.398078259,0,0,0,0.04461222,0.0034317090000000002,0.192175709,6.403569000000001,0.017158549,0,0.0068634180000000005,0,2.652711,0.20933420000000003,0.0034317090000000002,0.013726839999999999,0.0068634180000000005,2.886067027,0.02402196,0.11324639,0.0034317090000000002,0.1544269,0.01715854,2.910089,0.02059025,0,0.010295130000000001,0.4941661,1.1736440000000001,0.2676733,0.096087848,0.04804393,0.0034317090000000002,0,4.821550725000001,19.931366918000002,0,0,0,0.322580639,0,0,0,27.271795238000003,14.293063418,0,0.10295127,0.0034317090000000002,1.6952643250000003,0.1612903,0.0068634180000000005,0.07892931,13.13658
CtrlPN,0.935663535,3.910197,7.681204,0,0,0.05155171,1.1869780399999998,0,23.154451711,0,1.340344,0,0,0.37632747000000005,0,0,0,1.64578775,0.8531807,0.17914217999999998,0.0012887929999999999,0,0.5941334,0,0.016754301,0,0.06443963,0,0,0.0012887929999999999,0,0.1662542,0,0.0038663779999999997,12.484533520000003,5.9413342600000005,0,0,0,1.9138571949999998,0,3.8083818,0.8686463,22.837405399999998,0,0,0.1585215,0,9.133673166000001,0,0.07732756,0.12243530000000001,0.49103
CtrlPN,0.25081858,22.87255,4.459163,0,0.001501907,0.02403052,0.006007629,0,22.632239069999997,0,10.05827,0,0,0.21327084,0,0.001501907,0,0.08260490699999999,0,0.12015259,0.001501907,0,0,0,0.030038145,0,0.3349254,0.1802289,0,0,0.04205341,0.007509537,0,0,6.362079397,4.3134783500000005,0,0,0,0.446066489,0,0.001501907,0,23.297588417,0,0,0.2853624,0,2.641855219,0,0.388994,0.3469406,0.5977592
CtrlPN,0.33444811299999994,16.84142,5.560577,0,0,0.07080659,1.2202834200000001,0,28.759533139,0,8.557052,0,0.001506523,0.21543281,0,0,0,0.11600229299999999,0.00451957,0.040676129,0,0,0.049715266,0,0.04971527,0,0.006026092,0,0,0,0.08888487,0.043689170000000006,0,0,3.689475498,5.402392316,0,0,0.001506523,0.39018955299999997,0,7.083672299999999,0.3314351,17.660972116,0,0,0.3449938000000001,0,2.11515856,0,0.07080659,0.126548,0.8225617
CtrlPN,0.773620818,0,0,0,0.4988375,0.06341154,1.9192561000000001,0,0.02113718,0,6.670894,0,0,0.58761361,0,0,0,0.24519125000000003,0.01690974,0.042274361999999996,0,0,0.07186640999999999,0,0,0,0.004227436,0.01690974,0,0,0,0.74825622,0,0.9173536,2.1264002300000007,22.17289821,0,0,0,0.18177975,0,8.2900019,0.4311985,52.24265229,0,0,0.029592049999999998,0.01690974,0.7736208480000001,0,0.07186640999999999,0.9427182,0.1225956
CtrlPN,0.30814716000000003,0,0.004164151,0,0.2207,0.049969809999999996,0.337296166,0,2.381894075,0,11.29734,0,0.002082075,0.1228424,0,0.05413396,0,3.520789411,0.1270066,0.17281225,0,0.01873868,0.08952924000000001,0,0.047887735,0,0.052051889999999996,0.1519915,0,0,0.0062462260000000006,0.3955943,0,1.030627,11.166171086000006,26.36740657,0,0,0.002082075,0.420579197,0,0,0,39.259613,0,0,0.06246226,0.004164151,1.709383972,0,0.08328302,0.2977368,0.2352745
CtrlPN,0.648202703,0,0.004910627,0,0.329012,0.05156158,0.5745433329999999,0.0024553129999999998,0.022097823,0,13.1261,0,0.004910627,0.19642510000000002,0,0.034374390000000005,0,4.33362802,0.33392259999999996,0.27990572999999996,0,0.009821253,0.11539972,0,0.019642506999999997,0,0.05892752,0.4787861,0,0,0.027008449999999996,0.9035552800000001,0,0.3830289,10.737085051999994,11.19868134,0,0,0,0.68012173,0,0,0.027008449999999996,51.59104162600001,0,0,0.01473188,0,3.358868669,0,0.04665095,0.3560204,0.05156158
MetPN,0.5183093599999999,0,0.36660909999999997,8.023261,0.004213897,0.004213897,1.2220305599999999,1.268383595,16.467911479999998,0,1.997387,0.050566770000000004,0.004213897,0.1432725,0.8006405,0.02528338,0.008427795,0.13484469,0.08006405,0.012641692,0,0.046352870000000004,0.012641692,0,0.029497282,0.02949728,0,0.2654755,0.01264169,0.16434200000000002,0.24019216000000002,0,1.1841048969999999,0,9.860519935,25.569933665,0,0.4719565,0,0.6952930700000001,4.104335895,0,0,15.831612290000004,9.064093199999999,0,0.2191227,0,0.8891323299999998,0,0,0.10113349999999999,0.07585015
MetPN,0.29354551900000003,0,0.7533156,13.549069999999999,0,0,0.35366932,1.9982317900000002,7.908046253,0,0.5446508,0.1662246,0,0.1909814,1.206012,0.02829355,0.021220160000000002,0.183908043,0.05658709,0.010610080000000001,0,0.04597701,0.02829355,0,0.038903628999999995,0.04597701,0.010610080000000001,0.08488064000000001,0.1025641,0.1025641,0.9160035399999998,0.0035366929999999996,1.3828470000000002,0,5.195401878000001,17.899200893,0,0.5800177,0,0.36781613199999996,7.0486289399999995,0,0.021220160000000002,23.685233398999998,13.906281693,0,0.1980548,0,0.9336870019999999,0,0,0.060123779999999995,0.07780725000000001
MetPN,0.22485428,0,3.621199,6.808377,0.007843752,0,0.5098439499999999,1.13995844,25.262110500000002,0,2.638115,0,0,0.07582294,0.3372814,0.02091667,0,0.023531258000000003,0.1411875,0.12027087,0,0.007843752,0,0,0.031375004,0.33989590000000003,0,0.2719168,0.03660418,0.1542605,0.2222397,0.002614584,0.7242398,0,9.067377750000002,14.861296800000002,0,1.0223019999999998,0,1.8877298599999999,3.48785479,0,0,14.790701961999996,9.347137584,0,0.07059377,0,2.60935496,0,0,0.08366669,0.0496771
MetPN,0.8556944150000001,0,2.2474089999999998,7.73354,0.0032290350000000003,0,0.49404243000000003,3.2354932099999996,12.622299852000005,0,3.9135910000000003,0.032290349999999995,0,0.1582227,0.6135167,0.006458071,0.02260325,0.348735832,0.06135167,0.022603246,0,0.1356195,0.009687106000000001,0,0.022603245999999997,0.06458071,0.0032290350000000003,0.1937421,0,0.1065582,0.41008749,0,0.8234041000000001,0,6.064128756999997,14.801898319999998,0,1.055895,0,0.577997296,5.3957185999999995,0,0,21.537666261000002,15.602699000000001,0,0.0548936,0,0.7265329370000001,0,0.0032290350000000003,0.03874843,0
MetPN,0.014278574,0.43192689999999995,2.927108,0.0035696440000000003,0,0,0.078532165,0.089241098,27.225673897000004,0.1856215,0.0035696440000000003,0,0.1035197,0.23916615,0.6175484,0.053544659999999994,0.1392161,0.63182697,0.053544659999999994,0.01784822,0.01427857,0.128507187,0.057114297,0,0,0.1249375,0,0,0.0035696440000000003,0.06782323,0.021417857000000002,0.007139287,1.256515,0,5.554365552000003,14.735491607,0.0571143,1.356465,0,0.5390162000000001,6.3075601,0.039266084,0,30.938102621000002,2.7807519999999997,1.03162701,0.03569644,0.1213679,1.8597844940000001,0.07853216,0,0.06782323,0
MetPN,0.003844823,0.3114307,0.39217189999999996,0.007689646,0,0,0.073051633,1.7801531,24.02245338,0,0.026913760000000002,0,1.557153,0.23068935000000002,0.5305856,0,0.007689646,0.14225844,0.08458610000000001,0.003844823,0,0.026913763,0.034603405999999996,0,0.030758579999999997,0.007689646,0,0,0,0.08843093,0.44215461,0.003844823,1.0496367,0,4.686838859000003,25.991005230000003,0.042293050000000006,0.2768273,0.1153447,0.1422584,4.4484599000000005,0.01153447,0,25.214348195999996,6.666922703,0.36525815,0.07689646,0.030758579999999997,0.8304817379999999,0.053827520000000004,0,0.173017,0.015379289999999999
MetPN,0.9482094919999998,0.3417405,0.9097035,10.24259,0,0,0.08182518200000001,2.23334593,12.36041571,0.4716981,0.2165961,0,0.8182518,0.17809011000000002,1.063727,0,0.01443974,0.13958413,0.03369272,0.024066229999999997,0.11070469999999999,0.019252986,0.009626492,0,0.024066229999999997,0.004813246,0,0,0,0.10107820000000001,0.39468615999999995,0,1.578745,0.004813246,5.843280666000003,12.244898392,0.1058914,0.40431269999999997,0.3273007,0.1636504,6.13207577,0.37061998,0,27.113014707999994,11.84539571,0.44763186,0.1299576,1.506546,0.6931073919999999,0.08663843,0,0.2406623,0.01925298
MetPN,0.057492739999999994,0.028746369999999997,0.586426,18.85187,0,0,0.5691781789999999,1.664414837,12.24882923,0.4398195,0.060367380000000005,0.002874637,0.02587173,0.07474056,0.4254463,0,0.02587173,3.081611134,0.5576796,0.011498548,0,0.12648405,0.36507899,0,0,0.5634289,0,1.471814,0,0.040244919999999997,0.17535282,0.005749274,1.17572682,0,7.683903848999997,7.744271950000001,0.4110731,0.06611665,0.005749274,1.497686,4.9213781,1.19009975,0.002874637,13.663150832000001,14.252450636999999,2.7654005,0.2558427,0.02587173,2.40894604,0.4599419,0,0.008623911000000001,0
